symbol,open,high,low,close,volume,trade_count,vwap,strong_positive
BTC/USD,38524.89,39917.89,38422.55,38783.83,748.12453,32345.0,39072.7805040125,0.0
BTC/USD,38781.41,41700.0,38139.49,39124.91,1267.403143,44478.0,39671.1895381582,1.0
BTC/USD,39123.78,41477.14,38994.21,41359.77,1416.657713,43373.0,40457.234852888,1.0
BTC/USD,41338.39,41479.42,40279.94,40642.32,532.547277,27472.0,40814.9853793385,1.0
BTC/USD,40643.53,42364.12,40174.08,41825.27,709.36359,31900.0,41307.7492467836,1.0
BTC/USD,41826.79,42417.0,41570.01,41872.51,384.773382,22274.0,41972.5253189515,1.0
BTC/USD,41879.19,42033.19,40509.08,40893.29,516.307215,25197.0,41231.1473911304,1.0
BTC/USD,40887.01,43347.0,40761.58,43001.37,853.071637,35128.0,41583.0194179074,1.0
BTC/USD,43001.36,43220.9,41768.85,41938.05,827.151998,33508.0,42546.2113158976,1.0
BTC/USD,41969.42,43288.22,41814.58,42922.54,847.284152,36532.0,42463.9547796668,1.0
BTC/USD,42922.54,44422.34,42610.84,44115.03,796.889511,38066.0,43588.4845058324,1.0
BTC/USD,40139.0,41570.02,39627.11,41297.27,1116.941681,37740.0,40706.7892394579,1.0
BTC/USD,41297.22,41363.27,39572.24,40112.51,656.928988,32876.0,40368.4251159943,1.0
BTC/USD,40114.0,40861.77,39954.45,40548.26,546.807225,24562.0,40344.2157051538,1.0
BTC/USD,40544.92,40700.0,40005.67,40287.01,322.944471,17497.0,40333.2212854043,1.0
BTC/USD,40299.7,40607.0,38698.8,38835.3,693.391581,26746.0,39923.022828683,0.0
BTC/USD,38830.29,41269.84,38541.31,40863.31,1174.704948,43368.0,39975.3135028774,0.0
BTC/USD,40874.23,41800.0,40568.67,41357.48,524.31559,24363.0,41256.0957251912,1.0
BTC/USD,41357.48,42205.43,40900.0,41621.49,751.20176,31006.0,41559.4968526917,1.0
BTC/USD,41621.49,42984.15,39771.6,40634.05,1164.786881,42581.0,41520.479597037,1.0
BTC/USD,40638.22,40799.14,39172.34,39542.31,765.828943,35904.0,39881.6674041637,1.0
BTC/USD,38404.7,39700.0,38366.6,39398.73,926.539363,40847.0,39009.6531971376,0.0
BTC/USD,39398.17,40379.84,38869.44,39544.13,929.715552,40115.0,39710.0590509655,0.0
BTC/USD,39540.24,39630.88,38172.21,38561.01,731.90828,34568.0,38846.3167640513,0.0
BTC/USD,38568.19,38780.87,37396.09,37964.05,517.99151,29805.0,38081.5516389422,1.0
BTC/USD,37971.35,39121.71,37684.19,38986.47,548.832114,29363.0,38317.1881238004,1.0
BTC/USD,38978.38,39162.85,38037.28,38491.42,760.12401,35909.0,38631.6496917553,1.0
BTC/USD,31213.97,32640.49,30160.84,31203.5,3447.659023,88909.0,31439.1081523604,0.0
BTC/USD,31207.79,32126.51,26991.0,27647.5,5592.431365,132559.0,29918.7938695975,0.0
BTC/USD,27640.54,30716.22,25455.46,30375.49,3425.552947,95367.0,28307.9757052901,0.0
BTC/USD,30380.61,30980.0,29150.0,29295.69,1588.624046,53420.0,30117.550751019,0.0
BTC/USD,29250.09,30456.52,29250.09,30101.13,912.80936,36041.0,30013.9118068715,1.0
BTC/USD,30099.54,30634.92,28843.86,29309.4,1538.251495,55006.0,29831.5850011118,0.0
BTC/USD,29329.67,30184.03,28638.51,30065.69,1368.90144,48108.0,29400.9746527073,0.0
BTC/USD,30067.9,30109.37,29308.57,29738.5,1194.573761,46488.0,29700.9261734669,1.0
BTC/USD,29736.08,29820.0,28002.0,28891.2,2446.717862,88026.0,29106.1005054786,0.0
BTC/USD,28889.93,29352.61,28242.84,28804.55,1759.875459,72886.0,28806.0510952511,0.0
BTC/USD,28803.11,29233.2,28729.44,28919.16,494.156946,24678.0,28935.856762194,1.0
BTC/USD,28910.76,30400.88,28891.21,30303.09,1062.096958,35405.0,29579.0399057355,1.0
BTC/USD,30303.87,32193.14,30237.44,31668.48,2167.496153,61324.0,31040.0740009829,0.0
BTC/USD,31670.96,32409.14,31197.67,31540.29,1692.578428,51187.0,31731.1410465034,0.0
BTC/USD,31539.23,31875.0,29304.62,29784.4,1886.397503,55198.0,30451.2011109809,0.0
BTC/USD,29794.94,30672.66,29551.69,30398.43,1360.550315,40411.0,30182.0584533812,0.0
BTC/USD,30394.61,30538.38,29250.0,29688.9,1268.104056,39254.0,29720.4033008851,0.0
BTC/USD,29689.32,29951.53,29456.68,29701.65,504.101091,18168.0,29715.2419980302,1.0
BTC/USD,21942.24,23314.09,20900.0,21111.35,3298.418877,66489.0,22219.0181156854,0.0
BTC/USD,21106.05,22985.0,20078.0,22062.66,4371.904216,82516.0,21286.7238920407,0.0
BTC/USD,20506.2,21320.42,20301.5,20469.4,1179.574539,34703.0,20671.3083885395,0.0
BTC/USD,20461.86,20505.58,17594.94,18474.53,3712.265155,72767.0,18787.209028315,0.0
BTC/USD,18476.7,20799.03,17925.03,19838.75,2384.465489,49522.0,19671.061325434,0.0
BTC/USD,20337.68,21361.98,20154.28,21033.2,3645.486074,123984.0,20730.222056205,0.0
BTC/USD,21034.26,21534.33,20719.39,21218.71,2842.305253,88634.0,21115.0016267488,0.0
BTC/USD,21218.89,21595.71,20896.85,21406.14,1903.394998,67396.0,21279.299993201,0.0
BTC/USD,21407.32,21878.02,20910.41,21233.82,2119.787987,72859.0,21282.5732749017,0.0
BTC/USD,20747.07,21190.0,20125.0,20272.68,5382.925188,152022.0,20582.8242699851,0.0
BTC/USD,20273.69,20420.92,19832.92,20027.02,7319.191337,201864.0,20067.7940065669,0.0
BTC/USD,19170.9,19441.9,18752.98,19231.67,3459.369133,64323.0,19210.3198189685,0.0
BTC/USD,19233.4,19625.32,18911.68,19102.36,3478.188482,101957.0,19162.3038663075,0.0
BTC/USD,20514.05,20741.3,19769.2,19986.09,7194.311544,222000.0,20305.4940653217,0.0
BTC/USD,19986.09,20044.29,19226.0,19460.11,7138.720321,203381.0,19647.191033833,0.0
BTC/USD,19460.11,20403.7,18900.0,20062.27,10295.582148,245944.0,19731.0717816818,0.0
BTC/USD,20065.81,20879.17,19588.9,20530.01,10039.131412,219788.0,20218.1389894934,0.0
BTC/USD,20531.04,21191.81,20504.22,20739.15,6238.182795,182392.0,20853.0104942291,1.0
BTC/USD,20741.14,21575.34,20477.03,21247.59,5217.037703,158223.0,21075.4681930027,0.0
BTC/USD,21247.55,21657.49,20751.81,21290.62,5347.599761,169561.0,21180.8052516448,0.0
BTC/USD,20467.15,20578.0,19541.13,20337.81,9883.747803,118400.0,20041.6246677578,0.0
BTC/USD,20339.0,20486.06,19874.31,20056.65,6975.185598,101838.0,20158.5288084628,0.0
BTC/USD,20055.79,20292.0,19564.86,20156.76,7141.975485,110122.0,19934.1678446199,0.0
BTC/USD,20156.76,20444.0,19757.72,19919.47,7165.911879,96231.0,20075.2008677126,0.0
BTC/USD,19924.83,19968.2,19658.04,19806.11,2677.652012,51551.0,19800.1854803241,0.0
BTC/USD,19805.39,20058.0,19587.86,19888.67,4325.67879,62082.0,19834.4514137038,0.0
BTC/USD,21560.01,22378.0,21359.15,21719.51,9039.744436,107512.0,21706.8190027102,1.0
BTC/USD,21719.51,22497.58,21672.76,22288.81,9410.191574,145740.0,22236.9354995307,0.0
BTC/USD,22289.22,22799.03,19874.92,20389.76,14809.264623,169705.0,21173.3980397283,0.0
BTC/USD,20388.02,20418.59,19610.09,20031.29,10289.722437,116580.0,20125.5200628299,0.0
BTC/USD,19389.29,19560.0,19369.58,19469.98,4093.870646,55522.0,19459.5505262974,1.0
BTC/USD,19467.62,19473.88,18953.5,19040.95,8684.57051,138290.0,19213.2520031307,1.0
BTC/USD,19040.95,19266.48,18859.22,19098.17,8860.257869,143183.0,19071.7173846733,0.0
BTC/USD,19098.17,19239.94,18976.05,19092.97,5822.944486,101396.0,19116.2228608311,0.0
BTC/USD,19092.97,19950.88,18185.92,19815.8,23007.758384,249833.0,19010.1515626663,0.0
BTC/USD,19812.9,19853.48,19077.99,19188.13,13458.044482,145280.0,19477.6641777751,1.0
BTC/USD,19191.47,19199.81,18985.49,19138.33,2687.864822,39545.0,19112.8291025884,1.0
BTC/USD,20848.5,20903.06,19350.0,19709.07,13053.092915,157729.0,20332.9459143981,0.0
BTC/USD,19708.85,20677.1,17600.0,18391.9,23946.119195,279343.0,19249.8256191034,0.0
BTC/USD,18391.72,18447.49,15567.0,16681.8,20431.392018,253677.0,16939.4255328781,0.0
BTC/USD,16680.18,18154.76,16156.36,17310.0,14784.3101,210159.0,17349.4975882847,0.0
BTC/USD,17305.8,17502.58,16330.17,16661.27,13467.295266,189155.0,16957.5469950148,0.0
BTC/USD,16826.24,16838.86,15790.46,15832.13,5379.3093,102126.0,16301.2148357058,0.0
BTC/USD,15835.29,17130.04,15816.45,16637.69,4507.093337,123495.0,16565.518608464,0.0
BTC/USD,16634.54,17100.0,16595.02,16903.02,6870.477971,119611.0,16871.6763631543,0.0
BTC/USD,16906.55,16921.7,16367.32,16571.05,5558.002263,89529.0,16584.1215677405,0.0
BTC/USD,16668.14,16716.74,15876.89,16205.09,5329.602884,81485.0,16307.8667387063,0.0
BTC/USD,16205.09,16257.9,15468.58,15781.17,9542.308548,112773.0,15905.5949927971,0.0
BTC/USD,16823.21,16860.0,16805.0,16830.0,1306.340383583,24401.0,16831.2315693389,0.0
BTC/USD,16831.81,16918.59,16729.2,16856.15,2106.879832935,39852.0,16819.0134794838,0.0
BTC/USD,16856.15,16972.2,16792.93,16872.13,2231.66681558,44486.0,16864.1933785428,1.0
BTC/USD,16872.72,16890.0,16562.85,16599.15,4078.846778157,70487.0,16722.2696322588,0.0
BTC/USD,16803.36,17022.87,16675.0,16926.62,4927.378570204,68356.0,16847.1496301761,0.0
BTC/USD,16926.6,16949.0,16900.9,16936.0,1044.522619881,20189.0,16925.4861208911,0.0
BTC/USD,16935.27,17248.53,16910.0,17196.67,4781.20340018,60226.0,17095.0696564978,0.0
